"id","name","type","categories","attribute.1.name","attribute.1.value.s.","attribute.2.name","attribute.2.value.s."
19591,"jewels - black black","variation","","colors","black black","",""
19592,"jewels - black silver","variation","","colors","black silver","",""
19593,"jewels - black copper","variation","","colors","black copper","",""
19485,"big wool crepe yarn - flax","variation","","color","flax","",""
19486,"big wool crepe yarn - eggshell","variation","","color","eggshell","",""
19487,"big wool crepe yarn - fern","variation","","color","fern","",""
19488,"big wool crepe yarn - emerald","variation","","color","emerald","",""
19483,"big wool crepe yarn - hydrangea","variation","","color","hydrangea","",""
19484,"big wool crepe yarn - blue cloud","variation","","color","blue cloud","",""
19481,"big wool crepe yarn - hot coral","variation","","color","hot coral","",""
19482,"big wool crepe yarn - light blue","variation","","color","light blue","",""
19446,"cotton bash thick and thin - sunflower, 0.5-0.7 lbs per cone","variation","","color","sunflower","weight","0.5-0.7 lbs per cone"
19445,"cotton bash thick and thin - green tea ice cream, 0.5-0.7 lbs per cone","variation","","color","green tea ice cream","weight","0.5-0.7 lbs per cone"
19442,"cotton bash macrame - sunflower","variation","","color","sunflower","",""
19441,"cotton bash macrame - green tea ice cream","variation","","color","green tea ice cream","",""
19421,"wayfarer yarn - bright red","variation","","color","bright red","",""
19420,"wayfarer yarn - soft blue","variation","","color","soft blue","",""
19374,"cotton bash thick and thin - sand, 0.7-0.9 lbs per cone","variation","","color","sand","weight","0.7-0.9 lbs per cone"
19371,"cotton bash macrame - bleach white","variation","","color","bleach white","",""
19370,"cotton bash macrame - sand","variation","","color","sand","",""
19367,"mini dina - light copper","variation","","colors","light copper","",""
19366,"mini dina - silver","variation","","colors","silver","",""
19363,"classic combo duo - light violet cotton","variation","","colors","light violet cotton","",""
19362,"classic combo duo - light violet cotton rayon","variation","","colors","light violet cotton rayon","",""
19348,"nature's wool - sky blue","variation","","color","sky blue","",""
19347,"nature's wool - firefighter","variation","","color","firefighter","",""
19278,"nature's wool - pink heart","variation","","color","pink heart","",""
19277,"nature's wool - blue canoe","variation","","color","blue canoe","",""
19276,"nature's wool - clear lake","variation","","color","clear lake","",""
19254,"nature's wool - purple rain","variation","","color","purple rain","",""
19253,"nature's wool - lime","variation","","color","lime","",""
19210,"twister - 0.7-0.9 lbs per cone, natural","variation","","weight","0.7-0.9 lbs per cone","color","natural"
19179,"variegated rayon chenille - sunset spritz","variation","","color","sunset spritz","",""
19180,"variegated rayon chenille - watermelon rose","variation","","color","watermelon rose","",""
19177,"variegated rayon chenille - blue hawaiian","variation","","color","blue hawaiian","",""
19178,"variegated rayon chenille - mint mojito","variation","","color","mint mojito","",""
19176,"variegated rayon chenille - berry chill","variation","","color","berry chill","",""
19116,"bulky merino wool - wisteria","variation","","color","wisteria","",""
19115,"bulky merino wool - violet","variation","","color","violet","",""
19113,"bulky merino wool - sapphire","variation","","color","sapphire","",""
19114,"bulky merino wool - toasted pecan","variation","","color","toasted pecan","",""
19109,"bulky merino wool - barn red","variation","","color","barn red","",""
19110,"bulky merino wool - crow","variation","","color","crow","",""
19111,"bulky merino wool - egyptian","variation","","color","egyptian","",""
19112,"bulky merino wool - prussian","variation","","color","prussian","",""
19108,"bulky merino wool - arctic","variation","","color","arctic","",""
19102,"big macrame twist - truffle","variation","","color","truffle","",""
19100,"big macrame twist - vanilla cream","variation","","color","vanilla cream","",""
19101,"big macrame twist - shitake","variation","","color","shitake","",""
19056,"ramie - 1.6-1.8 lbs per cone","variation","","weight","1.6-1.8 lbs per cone","",""
19055,"ramie - 1 lb per cone","variation","","weight","1 lb per cone","",""
19047,"cotton bash macrame - hot pink","variation","","color","hot pink","",""
19048,"cotton bash macrame - natural","variation","","color","natural","",""
19044,"cotton bash macrame - salmon","variation","","color","salmon","",""
19045,"cotton bash macrame - sea breeze","variation","","color","sea breeze","",""
19046,"cotton bash macrame - blue topaz","variation","","color","blue topaz","",""
19031,"8/4 unmercerized cotton (merry maid) - stone, 1.3-1.4 lbs per cone","variation","","color","stone","weight","1.3-1.4 lbs per cone"
19030,"8/4 unmercerized cotton (merry maid) - stone, 0.7-0.9 lbs per cone","variation","","color","stone","weight","0.7-0.9 lbs per cone"
19029,"8/4 unmercerized cotton (merry maid) - sienna, 1.3-1.4 lbs per cone","variation","","color","sienna","weight","1.3-1.4 lbs per cone"
19028,"8/4 unmercerized cotton (merry maid) - sienna, 0.7-0.9 lbs per cone","variation","","color","sienna","weight","0.7-0.9 lbs per cone"
19027,"8/4 unmercerized cotton (merry maid) - lilac, 0.7-0.9 lbs per cone","variation","","color","lilac","weight","0.7-0.9 lbs per cone"
19023,"4/4 cotton yarn (worsted cotton) - lilac, 0.7-0.9 lbs per cone","variation","","color","lilac","weight","0.7-0.9 lbs per cone"
19017,"4/4 cotton yarn (worsted cotton) - sienna, 1.3-1.4 lbs per cone","variation","","color","sienna","weight","1.3-1.4 lbs per cone"
19016,"4/4 cotton yarn (worsted cotton) - stone, 1.3-1.4 lbs per cone","variation","","color","stone","weight","1.3-1.4 lbs per cone"
19015,"4/4 cotton yarn (worsted cotton) - stone, 0.7-0.9 lbs per cone","variation","","color","stone","weight","0.7-0.9 lbs per cone"
18986,"florafil super soft cotton yarn | bulky - lady's mantle","variation","","color","lady's mantle","",""
18979,"big wool crepe yarn - seal brown","variation","","color","seal brown","",""
18973,"super soft cotton metallic - rainbow","variation","","color","rainbow","",""
18974,"super soft cotton metallic - silver","variation","","color","silver","",""
18971,"super soft cotton metallic - copper","variation","","color","copper","",""
18972,"super soft cotton metallic - gold","variation","","color","gold","",""
18968,"soft cotton roving: baby colors - blue eyes, seeds","variation","","color","blue eyes","seeds","seeds"
18969,"soft cotton roving: baby colors - natural, seeds","variation","","color","natural","seeds","seeds"
18964,"soft cotton roving: baby colors - rose, seeds","variation","","color","rose","seeds","seeds"
18965,"soft cotton roving: baby colors - buttercup, seeds","variation","","color","buttercup","seeds","seeds"
18966,"soft cotton roving: baby colors - lavender, seeds","variation","","color","lavender","seeds","seeds"
18967,"soft cotton roving: baby colors - sage, seeds","variation","","color","sage","seeds","seeds"
18954,"cotton rayon twist - steel","variation","","color","steel","",""
18955,"cotton rayon twist - natural","variation","","color","natural","",""
18953,"cotton rayon twist - moss","variation","","color","moss","",""
18951,"classic combo duo - purple orchid cotton","variation","","colors","purple orchid cotton","",""
18950,"classic combo duo - purple orchid cotton rayon","variation","","colors","purple orchid cotton rayon","",""
18816,"5/1 spun rayon - 0.8 lbs per cone","variation","","weight","0.8 lbs per cone","",""
18689,"nature's wool - sapphire","variation","","color","sapphire","",""
18688,"nature's wool - safari","variation","","color","safari","",""
18687,"nature's wool - chestnut","variation","","color","chestnut","",""
18657,"florafil yarn super soft cotton | worsted - lady's mantle","variation","","color","lady's mantle","",""
18592,"twister - 1-1.2 lbs per cone, custard","variation","","weight","1-1.2 lbs per cone","color","custard"
18591,"twister - 0.7-0.9 lbs per cone, custard","variation","","weight","0.7-0.9 lbs per cone","color","custard"
18568,"4/4 cotton yarn (worsted cotton) - denim, 1.3-1.4 lbs per cone","variation","","color","denim","weight","1.3-1.4 lbs per cone"
18567,"4/4 cotton yarn (worsted cotton) - lilac, 1.3-1.4 lbs per cone","variation","","color","lilac","weight","1.3-1.4 lbs per cone"
18566,"4/4 cotton yarn (worsted cotton) - natural, 1.3-1.4 lbs per cone","variation","","color","natural","weight","1.3-1.4 lbs per cone"
18563,"popcorn yarn - purple kernel, 0.7-0.9 lbs per cone","variation","","colors","purple kernel","weight","0.7-0.9 lbs per cone"
18561,"8/4 unmercerized cotton (merry maid) - lilac, 1.3-1.4 lbs per cone","variation","","color","lilac","weight","1.3-1.4 lbs per cone"
18391,"duo tone rayon yarn - hot pink, 1.0-1.2 lbs per cone","variation","","color","hot pink","weight","1.0-1.2 lbs per cone"
18389,"duo tone rayon yarn - dark purple, 1.0-1.2 lbs per cone","variation","","color","dark purple","weight","1.0-1.2 lbs per cone"
18375,"eyelash rayon chenille - dark purple","variation","","color","dark purple","",""
18374,"eyelash rayon chenille - hot pink","variation","","color","hot pink","",""
18373,"eyelash rayon chenille - white","variation","","color","white","",""
18368,"rayon chenille yarn 1300 ypp - hot pink, 0.7-0.9 lbs per cone","variation","","color","hot pink","weight","0.7-0.9 lbs per cone"
18356,"wool crepe confetti - tan","variation","","color","tan","",""
18355,"wool crepe confetti - natural","variation","","color","natural","",""
18333,"4/4 cotton yarn (worsted cotton) - khaki, 0.7-0.9 lbs per cone","variation","","color","khaki","weight","0.7-0.9 lbs per cone"
18331,"4/4 cotton yarn (worsted cotton) - lavender, 0.7-0.9 lbs per cone","variation","","color","lavender","weight","0.7-0.9 lbs per cone"
18329,"4/4 cotton yarn (worsted cotton) - burnt auburn, 0.7-0.9 lbs per cone","variation","","color","burnt auburn","weight","0.7-0.9 lbs per cone"
18321,"wool crepe yarn - blue mist","variation","","color","blue mist","",""
18317,"super soft worsted cotton yarn - navy","variation","","color","navy","",""
18289,"8/4 unmercerized cotton (merry maid) - cotton candy, 0.7-0.9 lbs per cone","variation","","color","cotton candy","weight","0.7-0.9 lbs per cone"
18288,"8/4 unmercerized cotton (merry maid) - sky blue, 0.7-0.9 lbs per cone","variation","","color","sky blue","weight","0.7-0.9 lbs per cone"
18287,"8/4 unmercerized cotton (merry maid) - natural, 0.7-0.9 lbs per cone","variation","","color","natural","weight","0.7-0.9 lbs per cone"
18286,"8/4 unmercerized cotton (merry maid) - maroon, 0.7-0.9 lbs per cone","variation","","color","maroon","weight","0.7-0.9 lbs per cone"
18285,"8/4 unmercerized cotton (merry maid) - lounge green, 0.7-0.9 lbs per cone","variation","","color","lounge green","weight","0.7-0.9 lbs per cone"
18284,"8/4 unmercerized cotton (merry maid) - lavender, 0.7-0.9 lbs per cone","variation","","color","lavender","weight","0.7-0.9 lbs per cone"
18283,"8/4 unmercerized cotton (merry maid) - khaki, 0.7-0.9 lbs per cone","variation","","color","khaki","weight","0.7-0.9 lbs per cone"
18282,"8/4 unmercerized cotton (merry maid) - berry, 0.7-0.9 lbs per cone","variation","","color","berry","weight","0.7-0.9 lbs per cone"
18237,"popcorn yarn - purple kernel, 0.5-0.7 lbs per cone","variation","","colors","purple kernel","weight","0.5-0.7 lbs per cone"
18233,"popcorn yarn - pop punk, 0.7-0.9 lbs per cone","variation","","colors","pop punk","weight","0.7-0.9 lbs per cone"
18201,"jetty sun yarn - algae","variation","","colors","algae","",""
18200,"jetty sun yarn - stone","variation","","colors","stone","",""
18191,"4/4 cotton yarn (worsted cotton) - lounge green, 0.7-0.9 lbs per cone","variation","","color","lounge green","weight","0.7-0.9 lbs per cone"
18190,"specktacular wool crepe - oreo cookie","variation","","colors","oreo cookie","",""
18189,"specktacular wool crepe - frosted gingerbread","variation","","colors","frosted gingerbread","",""
18168,"enchanted yarn (unmercerized cotton) - natural","variation","","color","natural","",""
18167,"enchanted yarn (unmercerized cotton) - deep purple","variation","","color","deep purple","",""
18166,"enchanted yarn (unmercerized cotton) - fire red","variation","","color","fire red","",""
18164,"matte skinny majesty - ice","variation","","colors","ice","",""
18163,"matte skinny majesty - dandelion","variation","","colors","dandelion","",""
18162,"matte skinny majesty - brick","variation","","colors","brick","",""
18157,"matte skinny majesty - bark","variation","","colors","bark","",""
18111,"classic combo duo - silver birch cotton rayon","variation","","colors","silver birch cotton rayon","",""
18110,"classic combo duo - silver birch cotton","variation","","colors","silver birch cotton","",""
18109,"classic combo duo - willow cotton rayon","variation","","colors","willow cotton rayon","",""
18108,"classic combo duo - willow cotton","variation","","colors","willow cotton","",""
18107,"classic combo duo - violet cotton rayon","variation","","colors","violet cotton rayon","",""
18106,"classic combo duo - violet cotton","variation","","colors","violet cotton","",""
18086,"rayon chenille yarn 1850 ypp - hazelnut","variation","","color","hazelnut","",""
18085,"rayon chenille yarn 1850 ypp - asparagus","variation","","color","asparagus","",""
18084,"rayon chenille yarn 1850 ypp - artichoke","variation","","color","artichoke","",""
18083,"rayon chenille yarn 1850 ypp - almond","variation","","color","almond","",""
18082,"rayon chenille yarn 1850 ypp - strawberry fuzz","variation","","color","strawberry fuzz","",""
18081,"rayon chenille yarn 1850 ypp - red cherry","variation","","color","red cherry","",""
18076,"specktacular wool crepe - strawberry cream","variation","","colors","strawberry cream","",""
18075,"specktacular wool crepe - coffee and cream","variation","","colors","coffee and cream","",""
18044,"worsted wool mini skeins *bundle special* - bundle","variation","","colors","bundle","",""
18042,"worsted wool mini skeins *bundle special* - dark green","variation","","colors","dark green","",""
18041,"worsted wool mini skeins *bundle special* - light green","variation","","colors","light green","",""
18040,"worsted wool mini skeins *bundle special* - purple","variation","","colors","purple","",""
18039,"worsted wool mini skeins *bundle special* - blue","variation","","colors","blue","",""
18038,"worsted wool mini skeins *bundle special* - natural","variation","","colors","natural","",""
18037,"worsted wool mini skeins *bundle special* - red","variation","","colors","red","",""
18005,"fine metallic gimp yarn - chrome, 0.8-1 lbs per cone","variation","","color","chrome","weight","0.8-1 lbs per cone"
18004,"fine metallic gimp yarn - gold, 0.5-0.7 lbs per cone","variation","","color","gold","weight","0.5-0.7 lbs per cone"
17957,"popcorn yarn - rainbow gourmet, 0.7-0.9 lbs per cone","variation","","colors","rainbow gourmet","weight","0.7-0.9 lbs per cone"
17956,"popcorn yarn - green apple, 0.7-0.9 lbs per cone","variation","","colors","green apple","weight","0.7-0.9 lbs per cone"
17944,"macaw yarn - amazon","variation","","color","amazon","",""
17938,"cotton bash thick and thin - natural, 0.7-0.9 lbs per cone","variation","","color","natural","weight","0.7-0.9 lbs per cone"
17933,"matte skinny majesty - natural","variation","","colors","natural","",""
17929,"duo tone rayon yarn - sheen, 0.7-0.9 lbs per cone","variation","","color","sheen","weight","0.7-0.9 lbs per cone"
17924,"duo tone rayon yarn - golden, 0.7-0.9 lbs per cone","variation","","color","golden","weight","0.7-0.9 lbs per cone"
17886,"duo tone rayon yarn - pearl, 1.0-1.2 lbs per cone","variation","","color","pearl","weight","1.0-1.2 lbs per cone"
17834,"macaw yarn - violet starling","variation","","color","violet starling","",""
17833,"macaw yarn - scarlet macaw","variation","","color","scarlet macaw","",""
17832,"macaw yarn - great green","variation","","color","great green","",""
17831,"macaw yarn - blue parrot","variation","","color","blue parrot","",""
17803,"fiesta wool - jalapeno","variation","","color","jalapeno","",""
17802,"fiesta wool - blue agave","variation","","color","blue agave","",""
17801,"fiesta wool - cactus","variation","","color","cactus","",""
17800,"fiesta wool - purple pinata","variation","","color","purple pinata","",""
17799,"fiesta wool - red pepper","variation","","color","red pepper","",""
17717,"persian rug yarn","variation","","colors","paprika","put up","0.25 lb skein"
17716,"persian rug yarn","variation","","colors","green tea","put up","0.25 lb skein"
17715,"persian rug yarn","variation","","colors","green curry","put up","0.25 lb skein"
17714,"persian rug yarn","variation","","colors","borage petal","put up","0.25 lb skein"
17713,"persian rug yarn","variation","","colors","blue lotus","put up","0.25 lb skein"
17712,"persian rug yarn","variation","","colors","paprika","put up","0.5 lb cone"
17711,"persian rug yarn","variation","","colors","green curry","put up","0.5 lb cone"
17710,"persian rug yarn","variation","","colors","green tea","put up","0.5 lb cone"
17709,"persian rug yarn","variation","","colors","borage petal","put up","0.5 lb cone"
17708,"persian rug yarn","variation","","colors","blue lotus","put up","0.5 lb cone"
17669,"wool tweed yarn - true blue","variation","","color","true blue","",""
17668,"wool tweed yarn - raspberry","variation","","color","raspberry","",""
17667,"wool tweed yarn - purple potato","variation","","color","purple potato","",""
17666,"wool tweed yarn - moss","variation","","color","moss","",""
17665,"wool tweed yarn - forest","variation","","color","forest","",""
17664,"wool tweed yarn - denim blue","variation","","color","denim blue","",""
17663,"wool tweed yarn - aqua","variation","","color","aqua","",""
17662,"wool tweed yarn - smoke","variation","","color","smoke","",""
17559,"matte skinny majesty - licorice","variation","","colors","licorice","",""
17558,"matte skinny majesty - raisin","variation","","colors","raisin","",""
17557,"matte skinny majesty - golden raisin","variation","","colors","golden raisin","",""
17556,"matte skinny majesty - dry mint","variation","","colors","dry mint","",""
17555,"matte skinny majesty - cranberry","variation","","colors","cranberry","",""
17554,"matte skinny majesty - blueberry cream","variation","","colors","blueberry cream","",""
17534,"rayon chenille yarn 1300 ypp - white, 0.7-0.9 lbs per cone","variation","","color","white","weight","0.7-0.9 lbs per cone"
17520,"rayon ribbon - purple night","variation","","color","purple night","",""
17515,"rayon ribbon - gold pan","variation","","color","gold pan","",""
17430,"carnival - cherry pop","variation","","color","cherry pop","",""
17428,"carnival - blueberry","variation","","color","blueberry","",""
17414,"rayon swirl - silver swirl","variation","","colors","silver swirl","",""
17413,"rayon swirl - olive swirl","variation","","colors","olive swirl","",""
17412,"rayon swirl - wine swirl","variation","","colors","wine swirl","",""
17408,"wool crepe yarn - midnight navy","variation","","color","midnight navy","",""
17399,"4/4 cotton yarn (worsted cotton) - sky blue, 0.7-0.9 lbs per cone","variation","","color","sky blue","weight","0.7-0.9 lbs per cone"
17362,"metallic diva yarn - black pearl","variation","","color","black pearl","",""
17360,"metallic diva yarn - glamor gold","variation","","color","glamor gold","",""
17359,"metallic diva yarn - pearl","variation","","color","pearl","",""
17357,"metallic diva yarn - midnight disco","variation","","color","midnight disco","",""
17356,"metallic diva yarn - funky fuschia","variation","","color","funky fuschia","",""
17355,"metallic diva yarn - passion purple","variation","","color","passion purple","",""
17329,"4/4 cotton yarn (worsted cotton) - bright purple, 0.7-0.9 lbs per cone","variation","","color","bright purple","weight","0.7-0.9 lbs per cone"
17325,"wool crepe yarn - brilliant orange","variation","","color","brilliant orange","",""
17307,"thick and thin slub cotton - cornflower, 0.7 lbs per cone","variation","","colors","cornflower","weight","0.7 lbs per cone"
17306,"thick and thin slub cotton - crabapple, 0.7 lbs per cone","variation","","colors","crabapple","weight","0.7 lbs per cone"
17305,"thick and thin slub cotton - brandywine, 0.7 lbs per cone","variation","","colors","brandywine","weight","0.7 lbs per cone"
17304,"thick and thin slub cotton - natural, 0.7 lbs per cone","variation","","colors","natural","weight","0.7 lbs per cone"
17275,"4/4 cotton yarn (worsted cotton) - berry, 0.7-0.9 lbs per cone","variation","","color","berry","weight","0.7-0.9 lbs per cone"
17270,"4/4 cotton yarn (worsted cotton) - indigo, 0.7-0.9 lbs per cone","variation","","color","indigo","weight","0.7-0.9 lbs per cone"
17259,"wool crepe yarn - zangari","variation","","color","zangari","",""
17244,"4/4 cotton yarn (worsted cotton) - burgundy, 0.7-0.9 lbs per cone","variation","","color","burgundy","weight","0.7-0.9 lbs per cone"
17204,"metallic diva yarn - banging blue","variation","","color","banging blue","",""
17203,"metallic diva yarn - curvy copper","variation","","color","curvy copper","",""
17202,"metallic diva yarn - pretty pink","variation","","color","pretty pink","",""
17201,"metallic diva yarn - poppy purple","variation","","color","poppy purple","",""
17200,"metallic diva yarn - groovy green","variation","","color","groovy green","",""
17199,"metallic diva yarn - rhythm red","variation","","color","rhythm red","",""
17198,"metallic diva yarn - disco ball","variation","","color","disco ball","",""
17138,"super soft worsted cotton yarn - ruby magnolia","variation","","color","ruby magnolia","",""
17136,"super soft worsted cotton yarn - dark coal","variation","","color","dark coal","",""
17130,"flax cotton rayon blend yarn - ruby","variation","","color","ruby","",""
17127,"flax cotton rayon blend yarn - jet black","variation","","color","jet black","",""
17063,"wool crepe yarn - majorka","variation","","color","majorka","",""
17061,"wool crepe yarn - natural","variation","","color","natural","",""
17059,"wool crepe yarn - peacock","variation","","color","peacock","",""
17057,"wool crepe yarn - true red","variation","","color","true red","",""
17004,"luxury fine wool - 1.2 - 1.4 lb per cone","variation","","weight","1.2 - 1.4 lb per cone","",""
17003,"luxury fine wool - 0.6 lb per cone","variation","","weight","0.6 lb per cone","",""
16925,"wool crepe yarn - suede","variation","","color","suede","",""
16913,"4/4 cotton yarn (worsted cotton) - natural, 0.7-0.9 lbs per cone","variation","","color","natural","weight","0.7-0.9 lbs per cone"
16875,"shiny worsted rayon boucle - clay","variation","","color","clay","",""
16873,"shiny worsted rayon boucle - vanilla","variation","","color","vanilla","",""
16834,"wool crepe with metallic twist - black on black","variation","","colors","black on black","",""
16832,"wool crepe with metallic twist - black & silver","variation","","colors","black & silver","",""
16830,"wool crepe with metallic twist - black & gold","variation","","colors","black & gold","",""
16827,"wool crepe with metallic twist - black & copper","variation","","colors","black & copper","",""
16768,"wavy 100% bamboo yarn - zest","variation","","color","zest","",""
16766,"wavy 100% bamboo yarn - licorice","variation","","color","licorice","",""
16764,"wavy 100% bamboo yarn - indigo","variation","","color","indigo","",""
16762,"wavy 100% bamboo yarn - saffron","variation","","color","saffron","",""
16760,"wavy 100% bamboo yarn - cumin","variation","","color","cumin","",""
16757,"wavy 100% bamboo yarn - aubergine","variation","","color","aubergine","",""
16726,"cotton bash thick and thin - hot pink, 0.7-0.9 lbs per cone","variation","","color","hot pink","weight","0.7-0.9 lbs per cone"
16715,"4/4 cotton yarn (worsted cotton) - denim, 0.7-0.9 lbs per cone","variation","","color","denim","weight","0.7-0.9 lbs per cone"
16703,"4/4 cotton yarn (worsted cotton) - sienna, 0.7-0.9 lbs per cone","variation","","color","sienna","weight","0.7-0.9 lbs per cone"
16670,"cotton rayon chain yarn - hot pink","variation","","colors","hot pink","",""
16668,"cotton rayon chain yarn - bright green","variation","","colors","bright green","",""
16666,"cotton rayon chain yarn - fire red","variation","","colors","fire red","",""
16664,"cotton rayon chain yarn - deep blue","variation","","colors","deep blue","",""
16637,"nature's wool - rose quartz","variation","","color","rose quartz","",""
16633,"nature's wool - terracotta","variation","","color","terracotta","",""
16631,"nature's wool - red jasper","variation","","color","red jasper","",""
16629,"nature's wool - onyx","variation","","color","onyx","",""
16627,"nature's wool - sandstone","variation","","color","sandstone","",""
16625,"nature's wool - celestine","variation","","color","celestine","",""
16623,"nature's wool - fern","variation","","color","fern","",""
16621,"nature's wool - limestone","variation","","color","limestone","",""
16619,"nature's wool - calcite","variation","","color","calcite","",""
16617,"nature's wool - amethyst","variation","","color","amethyst","",""
16615,"nature's wool - citrine","variation","","color","citrine","",""
16582,"wool crepe yarn - tan suede","variation","","color","tan suede","",""
16562,"curaã§ao cotton boucle - fuchsia","variation","","color","fuchsia","",""
16556,"curaã§ao cotton boucle - mango","variation","","color","mango","",""
16554,"curaã§ao cotton boucle - sangria","variation","","color","sangria","",""
16552,"curaã§ao cotton boucle - ocean breeze","variation","","color","ocean breeze","",""
16548,"curaã§ao cotton boucle - sea glass","variation","","color","sea glass","",""
16502,"fun mini skeins - seagrass","variation","","color","seagrass","",""
16500,"fun mini skeins - pearl","variation","","color","pearl","",""
16498,"fun mini skeins - salmon","variation","","color","salmon","",""
16496,"fun mini skeins - jade","variation","","color","jade","",""
16448,"cotton bash thick and thin - bleach white, 0.7-0.9 lbs per cone","variation","","color","bleach white","weight","0.7-0.9 lbs per cone"
16446,"cotton bash thick and thin - blue topaz, 0.7-0.9 lbs per cone","variation","","color","blue topaz","weight","0.7-0.9 lbs per cone"
16444,"cotton bash thick and thin - seabreeze, 0.7-0.9 lbs per cone","variation","","color","seabreeze","weight","0.7-0.9 lbs per cone"
16442,"cotton bash thick and thin - salmon, 0.7-0.9 lbs per cone","variation","","color","salmon","weight","0.7-0.9 lbs per cone"
16348,"blue metallic yarn","variation","","color","","",""
16330,"3 ply silky rayon yarn - silver","variation","","color","silver","",""
16307,"rayon chain yarn - natural","variation","","rayon chain","natural","",""
16290,"wool boucle - navy","variation","","color","navy","",""
16288,"wool boucle - natural","variation","","color","natural","",""
16254,"new mix - d1","variation","","color","d1","",""
16252,"new mix - c1","variation","","color","c1","",""
16250,"new mix - b1","variation","","color","b1","",""
16248,"new mix - a1","variation","","color","a1","",""
16236,"5/1 spun rayon - 0.5 lbs per cone","variation","","weight","0.5 lbs per cone","",""
16202,"smooth cotton rayon - natural","variation","","color","natural","",""
16191,"wool crepe yarn - coral","variation","","color","coral","",""
16189,"wool crepe yarn - custard","variation","","color","custard","",""
16171,"seeded rayon yarn - black & white","variation","","color","black & white","",""
16170,"seeded rayon yarn - sherwood","variation","","color","sherwood","",""
16169,"seeded rayon yarn - fire side","variation","","color","fire side","",""
16168,"seeded rayon yarn - blue lagoon","variation","","color","blue lagoon","",""
16158,"rayon ribbon - natural","variation","","color","natural","",""
16156,"rayon ribbon - lava","variation","","color","lava","",""
16154,"rayon ribbon - ocean","variation","","color","ocean","",""
16150,"rayon ribbon - jet black","variation","","color","jet black","",""
16149,"rayon ribbon - forest","variation","","color","forest","",""
16074,"4/4 cotton yarn (worsted cotton) - cotton candy, 0.7-0.9 lbs per cone","variation","","color","cotton candy","weight","0.7-0.9 lbs per cone"
16071,"4/4 cotton yarn (worsted cotton) - black, 0.7-0.9 lbs per cone","variation","","color","black","weight","0.7-0.9 lbs per cone"
16068,"metallic tape yarn - gold natural","variation","","color","gold natural","",""
15921,"super soft worsted cotton yarn - chocolate lily","variation","","color","chocolate lily","",""
15878,"super soft worsted cotton yarn - smoke","variation","","color","smoke","",""
15875,"super soft worsted cotton yarn - khaki","variation","","color","khaki","",""
15874,"super soft worsted cotton yarn - plum","variation","","color","plum","",""
15833,"hiking trail - wine berry, 1.0-1.2 lbs per cone","variation","","color","wine berry","weight","1.0-1.2 lbs per cone"
15831,"hiking trail - wine berry, 0.6-0.8 lbs per cone","variation","","color","wine berry","weight","0.6-0.8 lbs per cone"
15830,"hiking trail - tree bark, 1.0-1.2 lbs per cone","variation","","color","tree bark","weight","1.0-1.2 lbs per cone"
15828,"hiking trail - tree bark, 0.6-0.8 lbs per cone","variation","","color","tree bark","weight","0.6-0.8 lbs per cone"
15827,"hiking trail - moss green, 1.0-1.2 lbs per cone","variation","","color","moss green","weight","1.0-1.2 lbs per cone"
15825,"hiking trail - moss green, 0.6-0.8 lbs per cone","variation","","color","moss green","weight","0.6-0.8 lbs per cone"
15824,"hiking trail - marshmallow, 1.0-1.2 lbs per cone","variation","","color","marshmallow","weight","1.0-1.2 lbs per cone"
15822,"hiking trail - marshmallow, 0.6-0.8 lbs per cone","variation","","color","marshmallow","weight","0.6-0.8 lbs per cone"
15821,"hiking trail - cork board, 1.0-1.2 lbs per cone","variation","","color","cork board","weight","1.0-1.2 lbs per cone"
15819,"hiking trail - cork board, 0.6-0.8 lbs per cone","variation","","color","cork board","weight","0.6-0.8 lbs per cone"
15817,"hiking trail - concrete, 0.6-0.8 lbs per cone","variation","","color","concrete","weight","0.6-0.8 lbs per cone"
15815,"hiking trail - concrete, 1.0-1.2 lbs per cone","variation","","color","concrete","weight","1.0-1.2 lbs per cone"
15814,"hiking trail - ash, 1.0-1.2 lbs per cone","variation","","color","ash","weight","1.0-1.2 lbs per cone"
15812,"hiking trail - ash, 0.6-0.8 lbs per cone","variation","","color","ash","weight","0.6-0.8 lbs per cone"
15811,"hiking trail - almost black, 0.6-0.8 lbs per cone","variation","","color","almost black","weight","0.6-0.8 lbs per cone"
15809,"hiking trail - almost black, 1.0-1.2 lbs per cone","variation","","color","almost black","weight","1.0-1.2 lbs per cone"
15787,"flax cotton rayon blend yarn - golden khaki","variation","","color","golden khaki","",""
15775,"flax cotton rayon blend yarn - carbonite","variation","","color","carbonite","",""
15773,"flax cotton rayon blend yarn - garnet","variation","","color","garnet","",""
15713,"skinny majesty: confetti - chrome","variation","","color","chrome","",""
15704,"macaw yarn - african gray","variation","","color","african gray","",""
15701,"macaw yarn - cockatoo","variation","","color","cockatoo","",""
15594,"cotton rayon seed yarn - peach","variation","","color","peach","",""
15593,"cotton rayon seed yarn - natural","variation","","color","natural","",""
15589,"cotton rayon seed yarn - violet","variation","","color","violet","",""
15581,"cotton rayon chain yarn - peach","variation","","colors","peach","",""
15580,"cotton rayon chain yarn - natural","variation","","colors","natural","",""
15576,"cotton rayon chain yarn - violet","variation","","colors","violet","",""
15538,"shiny worsted rayon boucle - natural","variation","","color","natural","",""
15537,"shiny worsted rayon boucle - golden","variation","","color","golden","",""
